,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
316,MARSHALL,Marshall Machines Limited,SM,10,ANNUAL GENERAL MEETING,23-Sep-2019,,25-Sep-2019,30-Sep-2019
317,PANACHE,Panache Digilife Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 1/- PER SHARE,13-Sep-2017,,15-Sep-2017,21-Sep-2017
318,AMJUMBO,A and M Jumbo Bags Limited,SM,10,BONUS 3:1,01-Jul-2019,02-Jul-2019,,
319,SHAIVAL,Shaival Reality Limited,SM,10,BONUS 5:1,17-Oct-2017,18-Oct-2017,,
320,WEALTH,Wealth First Portfolio Managers Limited,SM,10,DIVIDEND RE 1 PER SHARE,12-Sep-2018,14-Sep-2018,,
321,PERFECT,Perfect Infraengineers Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2017,,20-Sep-2017,27-Sep-2017
322,PERFECT,Perfect Infraengineers Limited,SM,10,INTERIM DIVIDEND - RE 0.50/- PER SHARE,31-Mar-2016,04-Apr-2016,,
323,JETKNIT,Jet Knitwears Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2017,,20-Sep-2017,29-Sep-2017
324,GLOBAL,Global Education Limited,SM,10,INTERIM DIVIDEND - RS 2.5 PER SHARE,21-Nov-2019,23-Nov-2019,,
325,GLOBE,Globe Textiles (India) Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,30-Sep-2017
326,KEERTI,Keerti Knowledge and Skills Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
327,RKEC,RKEC Projects Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 1 PER SHARE,18-Sep-2018,,21-Sep-2018,27-Sep-2018
328,JASH,Jash Engineering Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.5 PER SHARE,05-Sep-2019,,08-Sep-2019,14-Sep-2019
329,OMFURN,Omfurn India Limited,SM,10,ANNUAL GENERAL MEETING,02-Aug-2018,,04-Aug-2018,10-Aug-2018
330,INNOVANA,Innovana Thinklabs Limited,SM,10,ANNUAL GENERAL MEETING,29-Aug-2018,,31-Aug-2018,06-Sep-2018
331,AAKASH,Aakash Exploration Services Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
332,CONTI,Continental Seeds and Chemicals Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
